MAT,MAP,SOC,Soil_total_N,Wheat_type,N_rate,Animal_manure,Topdressing,Irrigation,DFA,EFFs,Straw_incorporation,Wheat_cultivar,Soil_tillage,Crop_cultivation,Yield,N_surplus
14.8 ,852 ,23.4 ,3.5 ,Winter,150,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.18 ,-74 
14.8 ,852 ,23.4 ,3.5 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.93 ,-6 
14.8 ,852 ,23.4 ,3.5 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,10.01 ,52 
14.8 ,852 ,23.4 ,3.5 ,Winter,150,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.81 ,-35 
14.8 ,852 ,23.4 ,3.5 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.74 ,0 
14.8 ,852 ,23.4 ,3.5 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.68 ,119 
14.1 ,603 ,7.5 ,1.3 ,Winter,75,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.82 ,-118 
14.1 ,603 ,7.5 ,1.3 ,Winter,150,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.28 ,-56 
14.1 ,603 ,7.5 ,1.3 ,Winter,225,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.61 ,9 
14.1 ,603 ,7.5 ,1.3 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.42 ,118 
13.3 ,686 ,7.0 ,1.4 ,Winter,120,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.98 ,-49 
13.3 ,686 ,7.0 ,1.4 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.28 ,3 
13.3 ,686 ,7.0 ,1.4 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.26 ,63 
13.3 ,686 ,7.0 ,1.4 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.62 ,142 
13.3 ,686 ,7.0 ,1.4 ,Winter,120,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.14 ,-53 
13.3 ,686 ,7.0 ,1.4 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.75 ,-11 
13.3 ,686 ,7.0 ,1.4 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.34 ,61 
13.3 ,686 ,7.0 ,1.4 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.88 ,134 
11.0 ,600 ,2.6 ,1.3 ,Winter,150,0,No,No,No,No,Yes,New,Optimized,Optimized,6.40 ,29 
11.0 ,600 ,2.6 ,1.3 ,Winter,150,0,No,No,No,No,Yes,New,Optimized,Optimized,6.16 ,36 
11.0 ,600 ,2.6 ,1.3 ,Winter,150,0,No,No,No,No,Yes,New,Optimized,Optimized,6.23 ,34 
11.0 ,600 ,2.6 ,1.3 ,Winter,150,0,No,No,No,No,Yes,New,Optimized,Optimized,5.95 ,41 
11.0 ,600 ,2.6 ,1.3 ,Winter,150,0,No,No,No,No,Yes,New,Optimized,Optimized,6.59 ,24 
11.0 ,600 ,2.6 ,1.3 ,Winter,150,0,No,No,No,No,Yes,New,Traditional,Optimized,5.89 ,43 
11.0 ,600 ,2.6 ,1.3 ,Winter,75,0,No,No,No,No,Yes,New,Optimized,Optimized,5.89 ,-32 
11.0 ,600 ,2.6 ,1.3 ,Winter,75,0,No,No,No,No,Yes,New,Optimized,Optimized,5.88 ,-32 
11.0 ,600 ,2.6 ,1.3 ,Winter,75,0,No,No,No,No,Yes,New,Optimized,Optimized,5.73 ,-28 
11.0 ,600 ,2.6 ,1.3 ,Winter,75,0,No,No,No,No,Yes,New,Optimized,Optimized,5.83 ,-30 
11.0 ,600 ,2.6 ,1.3 ,Winter,75,0,No,No,No,No,Yes,New,Optimized,Optimized,5.70 ,-27 
11.0 ,600 ,2.6 ,1.3 ,Winter,75,0,No,No,No,No,Yes,New,Traditional,Optimized,5.46 ,-21 
11.0 ,600 ,2.6 ,1.3 ,Winter,225,0,No,No,No,No,Yes,New,Optimized,Optimized,6.46 ,103 
11.0 ,600 ,2.6 ,1.3 ,Winter,225,0,No,No,No,No,Yes,New,Optimized,Optimized,5.97 ,116 
11.0 ,600 ,2.6 ,1.3 ,Winter,225,0,No,No,No,No,Yes,New,Optimized,Optimized,6.66 ,97 
11.0 ,600 ,2.6 ,1.3 ,Winter,225,0,No,No,No,No,Yes,New,Optimized,Optimized,5.95 ,116 
11.0 ,600 ,2.6 ,1.3 ,Winter,225,0,No,No,No,No,Yes,New,Optimized,Optimized,6.40 ,104 
11.0 ,600 ,2.6 ,1.3 ,Winter,225,0,No,No,No,No,Yes,New,Traditional,Optimized,6.29 ,107 
13.0 ,500 ,7.5 ,0.9 ,Winter,285,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.48 ,96 
13.0 ,500 ,7.5 ,0.9 ,Winter,225,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.01 ,25 
13.0 ,500 ,7.5 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.24 ,-25 
13.0 ,500 ,7.5 ,0.9 ,Winter,180,0,Yes,Yes,No,Yes,Yes,New,Traditional,Traditional,9.40 ,-26 
13.1 ,465 ,11.5 ,1.4 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.43 ,2 
13.1 ,465 ,11.5 ,1.4 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.57 ,-2 
13.1 ,465 ,11.5 ,1.4 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.67 ,-5 
13.5 ,587 ,9.8 ,1.1 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,5.52 ,127 
13.5 ,587 ,9.8 ,1.1 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.05 ,113 
13.5 ,587 ,9.8 ,1.1 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,6.78 ,93 
13.5 ,587 ,9.8 ,1.1 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,7.38 ,77 
13.5 ,587 ,9.8 ,1.1 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,7.46 ,75 
13.5 ,587 ,9.8 ,1.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.04 ,173 
13.5 ,587 ,9.8 ,1.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.84 ,151 
13.5 ,587 ,9.8 ,1.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,7.88 ,123 
13.5 ,587 ,9.8 ,1.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.42 ,109 
13.5 ,587 ,9.8 ,1.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,7.84 ,124 
13.5 ,587 ,9.8 ,1.1 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.40 ,224 
13.5 ,587 ,9.8 ,1.1 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.98 ,208 
13.5 ,587 ,9.8 ,1.1 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.18 ,175 
13.5 ,587 ,9.8 ,1.1 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.29 ,172 
13.5 ,587 ,9.8 ,1.1 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,7.73 ,187 
13.5 ,587 ,9.8 ,1.1 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.64 ,97 
13.5 ,587 ,9.8 ,1.1 ,Winter,300,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.40 ,136 
13.5 ,587 ,9.8 ,1.1 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.51 ,193 
13.3 ,686 ,7.1 ,0.8 ,Winter,120,0,Yes,Yes,No,No,No,New,Traditional,Traditional,9.52 ,-121 
13.3 ,686 ,7.1 ,0.8 ,Winter,120,0,Yes,Yes,No,No,No,New,Traditional,Traditional,7.36 ,-60 
13.3 ,686 ,7.1 ,0.8 ,Winter,120,0,Yes,Yes,No,No,No,New,Traditional,Traditional,7.27 ,-57 
13.3 ,686 ,7.1 ,0.8 ,Winter,240,0,Yes,Yes,No,No,No,New,Traditional,Traditional,9.37 ,3 
13.3 ,686 ,7.1 ,0.8 ,Winter,120,0,Yes,Yes,No,No,No,New,Traditional,Traditional,7.44 ,-62 
10.6 ,546 ,5.8 ,0.8 ,Winter,120,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,7.28 ,-61 
10.6 ,546 ,5.8 ,0.8 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.47 ,87 
10.6 ,546 ,5.8 ,0.8 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,5.75 ,227 
10.6 ,546 ,5.8 ,0.8 ,Winter,120,0,No,No,No,No,Yes,New,Traditional,Traditional,6.18 ,-25 
10.6 ,546 ,5.8 ,0.8 ,Winter,240,0,No,No,No,No,Yes,New,Traditional,Traditional,5.68 ,109 
10.6 ,546 ,5.8 ,0.8 ,Winter,360,0,No,No,No,No,Yes,New,Traditional,Traditional,5.50 ,234 
10.6 ,546 ,5.8 ,0.8 ,Winter,120,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.36 ,-30 
10.6 ,546 ,5.8 ,0.8 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.62 ,82 
10.6 ,546 ,5.8 ,0.8 ,Winter,360,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,6.16 ,216 
10.6 ,546 ,5.8 ,0.8 ,Winter,120,0,No,No,No,No,Yes,New,Traditional,Traditional,5.20 ,3 
10.6 ,546 ,5.8 ,0.8 ,Winter,240,0,No,No,No,No,Yes,New,Traditional,Traditional,5.14 ,125 
10.6 ,546 ,5.8 ,0.8 ,Winter,360,0,No,No,No,No,Yes,New,Traditional,Traditional,4.79 ,255 
9.1 ,579 ,6.1 ,0.8 ,Winter,45,0,No,No,No,No,No,New,Traditional,Traditional,2.61 ,45 
9.1 ,579 ,6.1 ,0.8 ,Winter,90,0,No,No,No,No,No,New,Traditional,Traditional,3.08 ,64 
9.1 ,579 ,6.1 ,0.8 ,Winter,135,0,No,No,No,No,No,New,Traditional,Traditional,4.46 ,70 
9.1 ,579 ,6.1 ,0.8 ,Winter,180,0,No,No,No,No,No,New,Traditional,Traditional,4.73 ,101 
12.0 ,540 ,5.4 ,0.7 ,Winter,150,30,No,No,No,No,No,New,Traditional,Optimized,4.81 ,87 
12.0 ,540 ,5.4 ,0.7 ,Winter,150,30,No,No,No,No,No,New,Optimized,Optimized,5.47 ,69 
12.0 ,540 ,5.4 ,0.7 ,Winter,150,30,No,No,No,No,No,New,Optimized,Optimized,5.72 ,63 
12.0 ,540 ,5.4 ,0.7 ,Winter,150,30,No,No,No,No,No,New,Optimized,Optimized,6.01 ,55 
15.3 ,975 ,9.3 ,1.1 ,Winter,75,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.23 ,-32 
15.3 ,975 ,9.3 ,1.1 ,Winter,150,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.92 ,24 
15.3 ,975 ,9.3 ,1.1 ,Winter,225,0,Yes,Yes,No,No,No,New,Traditional,Traditional,6.23 ,91 
15.3 ,975 ,9.3 ,1.1 ,Winter,300,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.74 ,179 
15.3 ,975 ,9.3 ,1.1 ,Winter,75,0,Yes,Yes,No,No,No,New,Traditional,Traditional,4.89 ,-23 
15.3 ,975 ,9.3 ,1.1 ,Winter,150,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.33 ,40 
15.3 ,975 ,9.3 ,1.1 ,Winter,225,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.91 ,100 
15.3 ,975 ,9.3 ,1.1 ,Winter,300,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.37 ,189 
15.3 ,975 ,9.3 ,1.1 ,Winter,75,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.61 ,-42 
15.3 ,975 ,9.3 ,1.1 ,Winter,150,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.93 ,24 
15.3 ,975 ,9.3 ,1.1 ,Winter,225,0,Yes,Yes,No,No,No,New,Traditional,Traditional,6.22 ,91 
15.3 ,975 ,9.3 ,1.1 ,Winter,300,0,Yes,Yes,No,No,No,New,Traditional,Traditional,5.84 ,177 
14.8 ,823 ,5.9 ,0.8 ,Winter,300,0,Yes,Yes,No,No,No,New,Traditional,Traditional,3.18 ,249 
14.8 ,823 ,5.9 ,0.8 ,Winter,150,150,Yes,Yes,No,No,No,New,Traditional,Traditional,5.89 ,175 
14.6 ,830 ,7.8 ,1.2 ,Winter,240,0,Yes,Yes,No,No,No,New,Traditional,Optimized,8.55 ,43 
14.6 ,830 ,7.8 ,1.2 ,Winter,240,0,Yes,Yes,No,No,No,New,Optimized,Optimized,8.15 ,54 
14.6 ,830 ,7.8 ,1.2 ,Winter,240,0,Yes,Yes,No,No,No,New,Optimized,Optimized,7.90 ,60 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.24 ,-86 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.34 ,-37 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.65 ,-96 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.75 ,-45 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.24 ,-109 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.29 ,-57 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.12 ,-111 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.18 ,-60 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.27 ,-106 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.39 ,-56 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.19 ,-123 
12.0 ,686 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.24 ,-75 
12.0 ,686 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.06 ,-126 
12.0 ,686 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.13 ,-78 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.48 ,-131 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,8.57 ,-83 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.24 ,-27 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.34 ,30 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.65 ,-39 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.75 ,19 
12.0 ,686 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.24 ,-55 
12.0 ,686 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.29 ,3 
12.0 ,686 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.12 ,-51 
12.0 ,686 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.18 ,7 
12.0 ,686 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.27 ,-28 
12.0 ,686 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,8.37 ,29 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.19 ,-54 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Traditional,9.24 ,5 
12.0 ,697 ,6.9 ,0.9 ,Winter,180,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.06 ,-50 
12.0 ,697 ,6.9 ,0.9 ,Winter,240,0,Yes,Yes,No,No,Yes,New,Traditional,Optimized,9.13 ,8 
